row_id,fixture_id,gameweek,team,team_short,opponent,opponent_short,venue,official_fdr,goals_for,goals_against,goal_difference,xg,xga,xg_difference,global_gd_quintile,global_xgd_quintile,team_gd_quintile,team_xgd_quintile,pre_match_xg_baseline,xg_factor_vs_team_median,defensive_factor_vs_team_median
1:12,1,1,Liverpool,LIV,Bournemouth,BOU,H,3,4,2,2,2.21,1.7,0.51,1,2,1,3,1.4,1.4121405750798723,0.6205882352941178
1:4,1,1,Bournemouth,BOU,Liverpool,LIV,A,4,2,4,-2,1.7,2.21,-0.51,5,4,5,4,1.4,1.0625,0.6063348416289593
2:2,2,1,Aston Villa,AVL,Newcastle,NEW,H,3,0,0,0,0.2,1.43,-1.23,2,5,3,5,1.4,0.17777777777777778,0.8811188811188811
2:15,2,1,Newcastle,NEW,Aston Villa,AVL,A,4,0,0,0,1.43,0.2,1.23,2,1,2,1,1.4,0.9761092150170649,6.55
3:6,3,1,Brighton,BHA,Fulham,FUL,H,3,1,1,0,1.48,0.76,0.72,2,2,2,2,1.4,1.0242214532871974,1.5526315789473684
3:10,3,1,Fulham,FUL,Brighton,BHA,A,4,1,1,0,0.76,1.48,-0.72,2,4,2,4,1.4,0.6816143497757847,0.9560810810810811
6:18,6,1,Spurs,TOT,Burnley,BUR,H,1,3,0,3,2.32,0.94,1.38,1,1,1,1,1.4,2.2524271844660193,1.4202127659574468
6:3,6,1,Burnley,BUR,Spurs,TOT,A,3,0,3,-3,0.94,2.32,-1.38,5,5,5,4,1.4,1.0867052023121386,0.8620689655172414
5:17,5,1,Sunderland,SUN,West Ham,WHU,H,2,3,0,3,0.75,0.56,0.18999999999999995,1,3,1,2,1.4,0.8620689655172414,2.4374999999999996
5:19,5,1,West Ham,WHU,Sunderland,SUN,A,3,0,3,-3,0.56,0.75,-0.18999999999999995,5,3,5,2,1.4,0.5572139303482588,1.9266666666666665
7:20,7,1,Wolves,WOL,Man City,MCI,H,4,0,4,-4,0.56,2.47,-1.9100000000000001,5,5,5,5,1.4,0.7724137931034484,0.5364372469635628
7:13,7,1,Man City,MCI,Wolves,WOL,A,2,4,0,4,2.47,0.56,1.9100000000000001,1,1,1,1,1.4,1.2258064516129035,1.7499999999999998
8:7,8,1,Chelsea,CHE,Crystal Palace,CRY,H,3,0,0,0,1.6,0.66,0.9400000000000001,2,2,2,2,1.4,0.9785932721712539,1.9166666666666667
8:8,8,1,Crystal Palace,CRY,Chelsea,CHE,A,3,0,0,0,0.66,1.6,-0.9400000000000001,2,4,2,5,1.4,0.42443729903536975,0.865625
4:16,4,1,Nott'm Forest,NFO,Brentford,BRE,H,3,3,1,2,1.83,1.49,0.3400000000000001,1,2,1,2,1.4,1.6636363636363636,0.9798657718120806
4:5,4,1,Brentford,BRE,Nott'm Forest,NFO,A,3,1,3,-2,1.49,1.83,-0.3400000000000001,5,4,4,4,1.4,0.9834983498349834,0.7240437158469946
9:14,9,1,Man Utd,MUN,Arsenal,ARS,H,4,0,1,-1,1.52,1.31,0.20999999999999996,4,3,5,3,1.4,0.9806451612903225,0.8740458015267175
9:1,9,1,Arsenal,ARS,Man Utd,MUN,A,4,1,0,1,1.31,1.52,-0.20999999999999996,1,3,2,5,1.4,0.7422096317280453,0.37171052631578944
10:11,10,1,Leeds,LEE,Everton,EVE,H,3,1,0,1,2.13,0.8,1.3299999999999998,1,1,1,1,1.4,1.484320557491289,1.625
10:9,10,1,Everton,EVE,Leeds,LEE,A,3,0,1,-1,0.8,2.13,-1.3299999999999998,4,5,4,5,1.4,0.7511737089201879,0.676056338028169
20:19,20,2,West Ham,WHU,Chelsea,CHE,H,3,1,5,-4,0.73,2.74,-2.0100000000000002,5,5,5,5,1.2066666666666668,0.7263681592039801,0.5273722627737225
20:7,20,2,Chelsea,CHE,West Ham,WHU,A,3,5,1,4,2.74,0.73,2.0100000000000002,1,1,1,1,1.38,1.6758409785932722,1.7328767123287674
18:13,18,2,Man City,MCI,Spurs,TOT,H,3,0,2,-2,1.55,1.11,0.43999999999999995,5,2,5,4,1.5250000000000001,0.7692307692307694,0.8828828828828827
18:18,18,2,Spurs,TOT,Man City,MCI,A,5,2,0,2,1.11,1.55,-0.43999999999999995,1,4,1,3,1.5,1.0776699029126213,0.8612903225806451
12:4,12,2,Bournemouth,BOU,Wolves,WOL,H,1,1,0,1,1.29,0.46,0.8300000000000001,1,2,1,2,1.3966666666666665,0.80625,2.9130434782608696
12:20,12,2,Wolves,WOL,Bournemouth,BOU,A,4,0,1,-1,0.46,1.29,-0.8300000000000001,4,4,2,4,1.2066666666666668,0.6344827586206897,1.0271317829457365
13:5,13,2,Brentford,BRE,Aston Villa,AVL,H,3,1,0,1,1.21,1.19,0.020000000000000018,1,3,2,3,1.3616666666666666,0.7986798679867986,1.1134453781512608
13:2,13,2,Aston Villa,AVL,Brentford,BRE,A,3,0,1,-1,1.19,1.21,-0.020000000000000018,4,3,4,3,1.1466666666666667,1.0577777777777777,1.0413223140495869
14:3,14,2,Burnley,BUR,Sunderland,SUN,H,2,2,0,2,1.0,0.77,0.22999999999999998,1,3,1,1,1.2699999999999998,1.1560693641618498,2.5974025974025974
14:17,14,2,Sunderland,SUN,Burnley,BUR,A,2,0,2,-2,0.77,1.0,-0.22999999999999998,5,3,4,3,1.2383333333333333,0.8850574712643678,1.365
11:1,11,2,Arsenal,ARS,Leeds,LEE,H,2,5,0,5,2.88,0.17,2.71,1,1,1,1,1.3316666666666668,1.6317280453257788,3.323529411764705
11:11,11,2,Leeds,LEE,Arsenal,ARS,A,5,0,5,-5,0.17,2.88,-2.71,5,5,5,5,1.468333333333333,0.11846689895470383,0.4513888888888889
15:8,15,2,Crystal Palace,CRY,Nott'm Forest,NFO,H,3,1,1,0,1.1,0.93,0.17000000000000004,2,3,2,3,1.2233333333333334,0.707395498392283,1.489247311827957
15:16,15,2,Nott'm Forest,NFO,Crystal Palace,CRY,A,3,1,1,0,0.93,1.1,-0.17000000000000004,2,3,2,3,1.4183333333333332,0.8454545454545455,1.3272727272727272
16:9,16,2,Everton,EVE,Brighton,BHA,H,3,2,0,2,1.6,2.43,-0.8300000000000001,1,4,1,4,1.2466666666666666,1.5023474178403757,0.5925925925925926
16:6,16,2,Brighton,BHA,Everton,EVE,A,3,0,2,-2,2.43,1.6,0.8300000000000001,5,2,5,2,1.36,1.6816608996539795,0.7374999999999999
17:10,17,2,Fulham,FUL,Man Utd,MUN,H,3,1,1,0,1.76,1.63,0.13000000000000012,2,3,3,2,1.24,1.57847533632287,0.8680981595092025
17:14,17,2,Man Utd,MUN,Fulham,FUL,A,3,1,1,0,1.63,1.76,-0.13000000000000012,2,3,3,4,1.3666666666666665,1.0516129032258064,0.6505681818181819
19:15,19,2,Newcastle,NEW,Liverpool,LIV,H,3,2,3,-1,0.98,0.69,0.29000000000000004,4,2,3,3,1.3516666666666666,0.6689419795221844,1.8985507246376814
19:12,19,2,Liverpool,LIV,Newcastle,NEW,A,3,3,2,1,0.69,0.98,-0.29000000000000004,1,4,2,4,1.4816666666666667,0.4408945686900958,1.076530612244898
23:7,23,3,Chelsea,CHE,Fulham,FUL,H,3,2,0,2,2.35,1.02,1.33,1,1,1,1,1.565357142857143,1.4373088685015292,1.2401960784313726
23:10,23,3,Fulham,FUL,Chelsea,CHE,A,3,0,2,-2,1.02,2.35,-1.33,5,5,5,5,1.305357142857143,0.9147982062780269,0.6021276595744681
26:14,26,3,Man Utd,MUN,Burnley,BUR,H,1,3,2,1,3.63,1.2,2.4299999999999997,1,1,1,1,1.395357142857143,2.3419354838709676,0.9541666666666667
26:3,26,3,Burnley,BUR,Man Utd,MUN,A,4,2,3,-1,1.2,3.63,-2.4299999999999997,4,5,2,5,1.2225000000000001,1.3872832369942196,0.5509641873278237
29:18,29,3,Spurs,TOT,Bournemouth,BOU,H,3,0,1,-1,0.19,1.59,-1.4000000000000001,4,5,3,5,1.4353571428571428,0.18446601941747573,0.8396226415094339
29:4,29,3,Bournemouth,BOU,Spurs,TOT,A,3,1,0,1,1.59,0.19,1.4000000000000001,1,1,1,1,1.3725000000000003,0.99375,7.052631578947369
28:17,28,3,Sunderland,SUN,Brentford,BRE,H,3,2,1,1,1.54,1.2,0.3400000000000001,1,2,1,1,1.1625,1.7701149425287357,1.1375
28:5,28,3,Brentford,BRE,Sunderland,SUN,A,3,1,2,-1,1.2,1.54,-0.3400000000000001,4,4,4,4,1.3310714285714287,0.792079207920792,0.8603896103896105
30:20,30,3,Wolves,WOL,Everton,EVE,H,3,2,3,-1,1.11,1.93,-0.8199999999999998,4,4,2,4,1.0910714285714287,1.5310344827586209,0.6865284974093265
30:9,30,3,Everton,EVE,Wolves,WOL,A,2,3,2,1,1.93,1.11,0.8199999999999998,1,2,1,1,1.288214285714286,1.812206572769953,1.2972972972972971
24:11,24,3,Leeds,LEE,Newcastle,NEW,H,3,0,0,0,0.69,0.46,0.22999999999999993,2,3,2,3,1.2739285714285715,0.48083623693379784,2.8260869565217392
24:15,24,3,Newcastle,NEW,Leeds,LEE,A,3,0,0,0,0.46,0.69,-0.22999999999999993,2,3,2,4,1.289642857142857,0.3139931740614335,1.8985507246376814
22:6,22,3,Brighton,BHA,Man City,MCI,H,4,2,1,1,2.3,1.82,0.47999999999999976,1,2,2,2,1.5039285714285715,1.5916955017301038,0.6483516483516483
22:13,22,3,Man City,MCI,Brighton,BHA,A,4,1,2,-1,1.82,2.3,-0.47999999999999976,4,4,5,5,1.5196428571428573,0.9032258064516131,0.42608695652173917
27:16,27,3,Nott'm Forest,NFO,West Ham,WHU,H,2,0,3,-3,0.73,2.42,-1.69,5,5,5,5,1.3396428571428574,0.6636363636363636,0.6033057851239669
27:19,27,3,West Ham,WHU,Nott'm Forest,NFO,A,3,3,0,3,2.42,0.73,1.69,1,1,1,1,1.1296428571428572,2.4079601990049753,1.9794520547945205
25:12,25,3,Liverpool,LIV,Arsenal,ARS,H,4,1,0,1,0.52,0.49,0.030000000000000027,1,3,2,4,1.3596428571428572,0.3322683706070288,2.153061224489796
25:1,25,3,Arsenal,ARS,Liverpool,LIV,A,4,0,1,-1,0.49,0.52,-0.030000000000000027,4,3,5,5,1.5439285714285715,0.27762039660056653,1.0865384615384615
21:2,21,3,Aston Villa,AVL,Crystal Palace,CRY,H,3,0,3,-3,1.14,2.65,-1.51,5,5,5,5,1.1439285714285714,1.0133333333333332,0.47547169811320755
21:8,21,3,Crystal Palace,CRY,Aston Villa,AVL,A,4,3,0,3,2.65,1.14,1.51,1,1,1,1,1.1967857142857146,1.7041800643086815,1.2149122807017545
31:1,31,4,Arsenal,ARS,Nott'm Forest,NFO,H,3,3,0,3,1.84,0.2,1.6400000000000001,1,1,1,2,1.4383333333333335,1.0424929178470255,2.8249999999999997
31:16,31,4,Nott'm Forest,NFO,Arsenal,ARS,A,5,0,3,-3,0.2,1.84,-1.6400000000000001,5,5,5,5,1.2895833333333335,0.18181818181818182,0.7934782608695652
32:4,32,4,Bournemouth,BOU,Brighton,BHA,H,3,2,1,1,1.45,0.62,0.83,1,2,1,2,1.4258333333333335,0.9062499999999999,2.1612903225806455
32:6,32,4,Brighton,BHA,Bournemouth,BOU,A,4,1,2,-1,0.62,1.45,-0.83,4,4,4,5,1.6295833333333336,0.4290657439446367,0.8137931034482758
35:8,35,4,Crystal Palace,CRY,Sunderland,SUN,H,2,0,0,0,1.77,0.36,1.4100000000000001,2,1,2,1,1.4045833333333335,1.1382636655948553,3.8472222222222223
35:17,35,4,Sunderland,SUN,Crystal Palace,CRY,A,3,0,0,0,0.36,1.77,-1.4100000000000001,2,5,2,5,1.2358333333333336,0.41379310344827586,0.771186440677966
36:9,36,4,Everton,EVE,Aston Villa,AVL,H,3,0,0,0,2.08,0.54,1.54,2,1,2,1,1.3945833333333335,1.9530516431924885,2.6666666666666665
36:2,36,4,Aston Villa,AVL,Everton,EVE,A,3,0,0,0,0.54,2.08,-1.54,2,5,3,5,1.1695833333333334,0.48000000000000004,0.6057692307692307
37:10,37,4,Fulham,FUL,Leeds,LEE,H,2,1,0,1,0.85,0.79,0.05999999999999994,1,3,1,2,1.2958333333333334,0.7623318385650224,1.7911392405063291
37:11,37,4,Leeds,LEE,Fulham,FUL,A,3,0,1,-1,0.79,0.85,-0.05999999999999994,4,3,4,3,1.2270833333333335,0.5505226480836237,1.5294117647058825
39:15,39,4,Newcastle,NEW,Wolves,WOL,H,1,1,0,1,1.55,0.5,1.05,1,1,1,1,1.2120833333333336,1.0580204778156999,2.62
39:20,39,4,Wolves,WOL,Newcastle,NEW,A,3,0,1,-1,0.5,1.55,-1.05,4,5,3,4,1.1195833333333334,0.6896551724137931,0.8548387096774195
40:19,40,4,West Ham,WHU,Spurs,TOT,H,3,0,3,-3,0.6,1.29,-0.6900000000000001,5,4,5,3,1.3170833333333336,0.5970149253731344,1.1201550387596897
40:18,40,4,Spurs,TOT,West Ham,WHU,A,3,3,0,3,1.29,0.6,0.6900000000000001,1,2,1,1,1.3058333333333334,1.2524271844660195,2.225
33:5,33,4,Brentford,BRE,Chelsea,CHE,H,3,2,2,0,1.43,1.25,0.17999999999999994,2,3,2,3,1.3408333333333335,0.9438943894389438,1.06
33:7,33,4,Chelsea,CHE,Brentford,BRE,A,3,2,2,0,1.25,1.43,-0.17999999999999994,2,3,2,3,1.6895833333333334,0.764525993883792,0.8846153846153847
34:3,34,4,Burnley,BUR,Liverpool,LIV,H,3,0,1,-1,0.13,2.65,-2.52,4,5,2,5,1.2458333333333336,0.15028901734104047,0.7547169811320755
34:12,34,4,Liverpool,LIV,Burnley,BUR,A,2,1,0,1,2.65,0.13,2.52,1,1,2,1,1.2808333333333335,1.6932907348242812,8.115384615384617
38:13,38,4,Man City,MCI,Man Utd,MUN,H,3,3,0,3,2.63,1.52,1.1099999999999999,1,1,1,3,1.5833333333333335,1.305210918114144,0.6447368421052632
38:14,38,4,Man Utd,MUN,Man City,MCI,A,5,0,3,-3,1.52,2.63,-1.1099999999999999,5,5,5,5,1.7008333333333334,0.9806451612903225,0.435361216730038
46:12,46,5,Liverpool,LIV,Everton,EVE,H,3,2,1,1,0.9,0.7,0.20000000000000007,1,3,2,3,1.4103472222222224,0.5750798722044729,1.5071428571428576
46:9,46,5,Everton,EVE,Liverpool,LIV,A,4,1,2,-1,0.7,0.9,-0.20000000000000007,4,3,4,3,1.448125,0.6572769953051643,1.5999999999999999
43:6,43,5,Brighton,BHA,Spurs,TOT,H,3,2,2,0,1.32,1.22,0.10000000000000009,2,3,2,3,1.494791666666667,0.9134948096885814,0.9672131147540983
43:18,43,5,Spurs,TOT,Brighton,BHA,A,4,2,2,0,1.22,1.32,-0.10000000000000009,2,3,2,3,1.2814583333333336,1.1844660194174756,1.0113636363636362
44:3,44,5,Burnley,BUR,Nott'm Forest,NFO,H,3,1,1,0,0.85,1.1,-0.2500000000000001,2,3,1,1,1.0992361111111113,0.9826589595375722,1.8181818181818181
44:16,44,5,Nott'm Forest,NFO,Burnley,BUR,A,2,1,1,0,1.1,0.85,0.2500000000000001,2,3,2,2,1.1459027777777782,1.0,1.7176470588235293
49:19,49,5,West Ham,WHU,Crystal Palace,CRY,H,3,1,2,-1,0.66,2.31,-1.65,4,5,3,5,1.2147916666666667,0.6567164179104479,0.6255411255411255
49:8,49,5,Crystal Palace,CRY,West Ham,WHU,A,3,2,1,1,2.31,0.66,1.65,1,1,1,1,1.4225694444444446,1.485530546623794,2.0984848484848486
50:20,50,5,Wolves,WOL,Leeds,LEE,H,2,1,3,-2,1.78,0.48,1.3,5,1,4,1,1.0281250000000002,2.4551724137931035,2.760416666666667
50:11,50,5,Leeds,LEE,Wolves,WOL,A,2,3,1,2,0.48,1.78,-1.3,1,5,1,4,1.155902777777778,0.33449477351916374,0.7303370786516854
47:14,47,5,Man Utd,MUN,Chelsea,CHE,H,3,2,1,1,1.84,0.43,1.4100000000000001,1,1,2,2,1.658125,1.1870967741935483,2.662790697674419
47:7,47,5,Chelsea,CHE,Man Utd,MUN,A,4,1,2,-1,0.43,1.84,-1.4100000000000001,4,5,4,5,1.618125,0.26299694189602446,0.6875
45:10,45,5,Fulham,FUL,Brentford,BRE,H,3,3,1,2,1.01,0.6,0.41000000000000003,1,2,1,1,1.2236805555555559,0.9058295964125561,2.3583333333333334
45:5,45,5,Brentford,BRE,Fulham,FUL,A,3,1,3,-2,0.6,1.01,-0.41000000000000003,5,4,4,4,1.3281250000000002,0.396039603960396,1.311881188118812
42:4,42,5,Bournemouth,BOU,Newcastle,NEW,H,3,0,0,0,0.46,0.14,0.32,2,2,2,3,1.4059027777777782,0.2875,9.571428571428571
42:15,42,5,Newcastle,NEW,Bournemouth,BOU,A,4,0,0,0,0.14,0.46,-0.32,2,4,3,4,1.227013888888889,0.09556313993174063,2.847826086956522
48:17,48,5,Sunderland,SUN,Aston Villa,AVL,H,3,1,1,0,1.04,0.78,0.26,2,3,2,2,1.115902777777778,1.1954022988505748,1.75
48:2,48,5,Aston Villa,AVL,Sunderland,SUN,A,3,1,1,0,0.78,1.04,-0.26,2,3,3,3,1.0770138888888892,0.6933333333333334,1.2115384615384615
41:1,41,5,Arsenal,ARS,Man City,MCI,H,4,1,1,0,0.89,0.87,0.020000000000000018,2,3,4,4,1.4603472222222225,0.5042492917847026,0.6494252873563218
41:13,41,5,Man City,MCI,Arsenal,ARS,A,5,1,1,0,0.87,0.89,-0.020000000000000018,2,3,4,4,1.6770138888888892,0.43176178660049636,1.101123595505618
52:5,52,6,Brentford,BRE,Man Utd,MUN,H,3,3,1,2,2.02,2.08,-0.06000000000000005,1,3,1,3,1.2197500000000001,1.3333333333333333,0.6370192307692308
52:14,52,6,Man Utd,MUN,Brentford,BRE,A,3,1,3,-2,2.08,2.02,0.06000000000000005,5,3,5,3,1.64075,1.3419354838709678,0.5668316831683168
53:7,53,6,Chelsea,CHE,Brighton,BHA,H,3,1,3,-2,1.81,2.28,-0.46999999999999975,5,4,5,4,1.46375,1.107033639143731,0.5548245614035089
53:6,53,6,Brighton,BHA,Chelsea,CHE,A,3,3,1,2,2.28,1.81,0.46999999999999975,1,2,1,2,1.4417500000000003,1.5778546712802768,0.6519337016574586
54:8,54,6,Crystal Palace,CRY,Liverpool,LIV,H,3,2,1,1,2.92,2.14,0.7799999999999998,1,2,1,2,1.4757500000000001,1.8778135048231508,0.647196261682243
54:12,54,6,Liverpool,LIV,Crystal Palace,CRY,A,3,1,2,-1,2.14,2.92,-0.7799999999999998,4,4,4,5,1.3237500000000002,1.36741214057508,0.36130136986301375
56:11,56,6,Leeds,LEE,Bournemouth,BOU,H,3,2,2,0,1.84,0.82,1.02,3,2,2,2,1.05275,1.2822299651567943,1.5853658536585367
56:4,56,6,Bournemouth,BOU,Leeds,LEE,A,3,2,2,0,0.82,1.84,-1.02,3,4,2,4,1.2757500000000002,0.5125,0.7282608695652174
57:13,57,6,Man City,MCI,Burnley,BUR,H,1,5,1,4,2.03,0.41,1.6199999999999999,1,1,1,1,1.56075,1.0074441687344913,2.3902439024390243
57:3,57,6,Burnley,BUR,Man City,MCI,A,5,1,5,-4,0.41,2.03,-1.6199999999999999,5,5,5,4,1.03875,0.47398843930635837,0.9852216748768474
59:16,59,6,Nott'm Forest,NFO,Sunderland,SUN,H,2,0,1,-1,1.68,1.66,0.020000000000000018,4,3,3,2,1.1057500000000002,1.5272727272727271,0.8795180722891567
59:17,59,6,Sunderland,SUN,Nott'm Forest,NFO,A,3,1,0,1,1.66,1.68,-0.020000000000000018,2,3,1,2,1.0727500000000003,1.9080459770114941,0.8125
60:18,60,6,Spurs,TOT,Wolves,WOL,H,1,1,1,0,0.87,1.15,-0.2799999999999999,3,4,2,3,1.2397500000000001,0.8446601941747572,1.1608695652173913
60:20,60,6,Wolves,WOL,Spurs,TOT,A,3,1,1,0,1.15,0.87,0.2799999999999999,3,2,1,1,1.0677500000000002,1.586206896551724,1.5229885057471266
51:2,51,6,Aston Villa,AVL,Fulham,FUL,H,3,3,1,2,1.11,0.92,0.19000000000000006,1,3,1,2,1.0117500000000001,0.9866666666666668,1.3695652173913042
51:10,51,6,Fulham,FUL,Aston Villa,AVL,A,4,1,3,-2,0.92,1.11,-0.19000000000000006,5,3,5,3,1.16675,0.8251121076233184,1.2747747747747746
58:15,58,6,Newcastle,NEW,Arsenal,ARS,H,4,1,2,-1,0.61,2.04,-1.4300000000000002,4,5,3,5,1.08275,0.416382252559727,0.6421568627450981
58:1,58,6,Arsenal,ARS,Newcastle,NEW,A,3,2,1,1,2.04,0.61,1.4300000000000002,2,1,2,2,1.3677500000000002,1.1558073654390935,0.9262295081967212
55:9,55,6,Everton,EVE,West Ham,WHU,H,2,1,1,0,0.73,1.19,-0.45999999999999996,3,4,2,3,1.3377500000000002,0.6854460093896714,1.2100840336134453
55:19,55,6,West Ham,WHU,Everton,EVE,A,3,1,1,0,1.19,0.73,0.45999999999999996,3,2,2,2,1.12375,1.18407960199005,1.9794520547945205
63:4,63,7,Bournemouth,BOU,Fulham,FUL,H,3,3,1,2,1.12,0.88,0.2400000000000001,1,3,1,3,1.2541666666666667,0.7000000000000001,1.5227272727272727
63:10,63,7,Fulham,FUL,Bournemouth,BOU,A,4,1,3,-2,0.88,1.12,-0.2400000000000001,5,3,5,3,1.1641666666666666,0.789237668161435,1.263392857142857
67:11,67,7,Leeds,LEE,Spurs,TOT,H,3,1,2,-1,1.68,0.53,1.15,4,1,4,2,1.1441666666666668,1.170731707317073,2.452830188679245
67:18,67,7,Spurs,TOT,Leeds,LEE,A,3,2,1,1,0.53,1.68,-1.15,2,5,1,4,1.2259848484848486,0.5145631067961165,0.7946428571428572
61:1,61,7,Arsenal,ARS,West Ham,WHU,H,2,2,0,2,2.77,0.49,2.2800000000000002,1,1,2,1,1.4487121212121212,1.5694050991501416,1.1530612244897958
61:19,61,7,West Ham,WHU,Arsenal,ARS,A,5,0,2,-2,0.49,2.77,-2.2800000000000002,5,5,4,5,1.1496212121212122,0.4875621890547264,0.5216606498194946
68:14,68,7,Man Utd,MUN,Sunderland,SUN,H,2,2,0,2,1.84,0.71,1.1300000000000001,1,1,1,2,1.7005303030303027,1.1870967741935483,1.6126760563380282
68:17,68,7,Sunderland,SUN,Man Utd,MUN,A,4,0,2,-2,0.71,1.84,-1.1300000000000001,5,5,5,4,1.1459848484848485,0.8160919540229885,0.7418478260869564
65:7,65,7,Chelsea,CHE,Liverpool,LIV,H,3,2,1,1,1.0,1.95,-0.95,2,4,2,5,1.5150757575757574,0.6116207951070336,0.6487179487179487
65:12,65,7,Liverpool,LIV,Chelsea,CHE,A,3,1,2,-1,1.95,1.0,0.95,4,2,4,2,1.4178030303030305,1.2460063897763578,1.0550000000000002
62:2,62,7,Aston Villa,AVL,Burnley,BUR,H,1,2,1,1,1.16,0.4,0.7599999999999999,2,2,1,1,1.040530303030303,1.031111111111111,3.15
62:3,62,7,Burnley,BUR,Aston Villa,AVL,A,4,1,2,-1,0.4,1.16,-0.7599999999999999,4,4,3,2,1.001439393939394,0.46242774566473993,1.7241379310344829
66:9,66,7,Everton,EVE,Crystal Palace,CRY,H,3,2,1,1,2.03,1.53,0.4999999999999998,2,2,1,2,1.302348484848485,1.9061032863849765,0.9411764705882353
66:8,66,7,Crystal Palace,CRY,Everton,EVE,A,3,1,2,-1,1.53,2.03,-0.4999999999999998,4,4,4,4,1.6268939393939397,0.9839228295819935,0.6822660098522169
69:15,69,7,Newcastle,NEW,Nott'm Forest,NFO,H,3,2,0,2,3.45,0.3,3.1500000000000004,1,1,1,1,1.059621212121212,2.3549488054607512,4.366666666666667
69:16,69,7,Nott'm Forest,NFO,Newcastle,NEW,A,3,0,2,-2,0.3,3.45,-3.1500000000000004,5,5,4,5,1.1778030303030305,0.2727272727272727,0.42318840579710143
70:20,70,7,Wolves,WOL,Brighton,BHA,H,3,1,1,0,0.56,0.92,-0.36,3,4,1,3,1.0950757575757577,0.7724137931034484,1.440217391304348
70:6,70,7,Brighton,BHA,Wolves,WOL,A,2,1,1,0,0.92,0.56,0.36,3,2,3,3,1.5378030303030301,0.6366782006920416,2.1071428571428568
64:5,64,7,Brentford,BRE,Man City,MCI,H,4,0,1,-1,0.7,0.85,-0.15000000000000002,4,3,4,4,1.3123484848484848,0.462046204620462,1.558823529411765
64:13,64,7,Man City,MCI,Brentford,BRE,A,3,1,0,1,0.85,0.7,0.15000000000000002,2,3,2,4,1.6232575757575758,0.42183622828784123,1.4000000000000001
77:16,77,8,Nott'm Forest,NFO,Chelsea,CHE,H,3,0,3,-3,2.35,1.67,0.6800000000000002,5,2,5,1,1.1014583333333334,2.1363636363636362,0.874251497005988
77:7,77,8,Chelsea,CHE,Nott'm Forest,NFO,A,3,3,0,3,1.67,2.35,-0.6800000000000002,1,4,1,4,1.4689583333333334,1.0214067278287462,0.5382978723404256
71:6,71,8,Brighton,BHA,Newcastle,NEW,H,3,2,1,1,0.91,1.45,-0.5399999999999999,2,4,2,4,1.483125,0.6297577854671281,0.8137931034482758
71:15,71,8,Newcastle,NEW,Brighton,BHA,A,4,1,2,-1,1.45,0.91,0.5399999999999999,4,2,4,3,1.2556250000000002,0.9897610921501707,1.4395604395604396
72:3,72,8,Burnley,BUR,Leeds,LEE,H,2,2,0,2,0.45,2.63,-2.1799999999999997,1,5,1,5,0.9481250000000001,0.5202312138728324,0.7604562737642586
72:11,72,8,Leeds,LEE,Burnley,BUR,A,2,0,2,-2,2.63,0.45,2.1799999999999997,5,1,5,1,1.1856250000000002,1.832752613240418,2.888888888888889
73:8,73,8,Crystal Palace,CRY,Bournemouth,BOU,H,3,3,3,0,4.44,2.03,2.4100000000000006,3,1,2,1,1.6156250000000003,2.855305466237942,0.6822660098522169
73:4,73,8,Bournemouth,BOU,Crystal Palace,CRY,A,3,3,3,0,2.03,4.44,-2.4100000000000006,3,5,2,5,1.2397916666666668,1.2687499999999998,0.3018018018018018
76:13,76,8,Man City,MCI,Everton,EVE,H,3,2,0,2,2.38,0.81,1.5699999999999998,1,1,2,1,1.555625,1.1811414392059554,1.2098765432098764
76:9,76,8,Everton,EVE,Man City,MCI,A,5,0,2,-2,0.81,2.38,-1.5699999999999998,5,5,5,5,1.359791666666667,0.7605633802816902,0.6050420168067226
78:17,78,8,Sunderland,SUN,Wolves,WOL,H,1,2,0,2,0.65,0.83,-0.17999999999999994,1,3,1,2,1.1064583333333335,0.7471264367816092,1.644578313253012
78:20,78,8,Wolves,WOL,Sunderland,SUN,A,3,0,2,-2,0.83,0.65,0.17999999999999994,5,3,4,2,1.047291666666667,1.1448275862068966,2.0384615384615388
74:10,74,8,Fulham,FUL,Arsenal,ARS,H,4,0,1,-1,0.44,1.87,-1.4300000000000002,4,5,3,5,1.1372916666666668,0.3946188340807175,0.7566844919786097
74:1,74,8,Arsenal,ARS,Fulham,FUL,A,3,1,0,1,1.87,0.44,1.4300000000000002,2,1,2,2,1.555625,1.0594900849858357,1.284090909090909
79:18,79,8,Spurs,TOT,Aston Villa,AVL,H,3,1,2,-1,0.75,0.32,0.43,4,2,3,2,1.164791666666667,0.7281553398058253,4.171875
79:2,79,8,Aston Villa,AVL,Spurs,TOT,A,3,2,1,1,0.32,0.75,-0.43,2,4,1,4,1.047291666666667,0.28444444444444444,1.68
75:12,75,8,Liverpool,LIV,Man Utd,MUN,H,3,1,2,-1,2.75,1.34,1.41,4,1,4,1,1.4589583333333334,1.7571884984025559,0.787313432835821
75:14,75,8,Man Utd,MUN,Liverpool,LIV,A,4,2,1,1,1.34,2.75,-1.41,2,5,2,5,1.7089583333333334,0.864516129032258,0.4163636363636364
80:19,80,8,West Ham,WHU,Brentford,BRE,H,3,0,2,-2,0.35,2.37,-2.02,5,5,4,5,1.0914583333333334,0.3482587064676617,0.6097046413502109
